time,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,lctrl_pos_x,lctrl_pos_y,lctrl_pos_z,lctrl_rot_x,lctrl_rot_y,lctrl_rot_z,rctrl_pos_x,rctrl_pos_y,rctrl_pos_z,rctrl_rot_x,rctrl_rot_y,rctrl_rot_z
0.6310,0.062379,1.561441,0.318759,34.013870,307.787000,353.252100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.309042,1.733169,-2.326084,326.722700,55.514660,190.698000
0.6418,0.060919,1.561391,0.317780,33.835000,306.504200,352.895800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.309021,1.733288,-2.325741,326.724100,55.516620,190.693500
0.6534,0.059244,1.561310,0.316609,33.628520,304.968200,352.436800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.309010,1.733408,-2.325337,326.724400,55.515870,190.692400
0.6640,0.057467,1.561256,0.315332,33.424590,303.241800,351.959400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308921,1.733446,-2.325379,326.720000,55.518660,190.689000
0.6751,0.055436,1.561143,0.313855,33.158100,301.193600,351.403900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308768,1.733427,-2.325680,326.709700,55.522190,190.681100
0.6874,0.053325,1.561020,0.312304,32.861630,299.090500,350.798600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308699,1.733419,-2.325727,326.705000,55.523110,190.677100
0.7083,0.049076,1.560746,0.309045,32.222980,294.766600,349.414800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308591,1.733387,-2.325863,326.696900,55.529620,190.665000
0.7200,0.047028,1.560645,0.307416,31.914130,292.772700,348.759300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308575,1.733361,-2.325994,326.693400,55.532120,190.657600
0.7306,0.045070,1.560575,0.305845,31.579810,290.934000,348.185900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308561,1.733343,-2.326040,326.690700,55.534060,190.653100
0.7420,0.043192,1.560585,0.304341,31.287430,289.313200,347.753300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308567,1.733315,-2.326093,326.686200,55.534600,190.650400
0.7530,0.041471,1.560558,0.303007,30.986830,287.869800,347.396500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308585,1.733281,-2.326203,326.684300,55.538550,190.642700
0.7637,0.039889,1.560540,0.301774,30.751350,286.619000,347.109200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308593,1.733257,-2.326243,326.681800,55.539720,190.637600
0.7750,0.038553,1.560502,0.300703,30.597370,285.658400,346.946000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308593,1.733254,-2.326205,326.679900,55.542240,190.631700
0.7864,0.037265,1.560468,0.299668,30.514880,284.952400,346.846600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308643,1.733335,-2.326161,326.679200,55.542890,190.628300
0.7981,0.036181,1.560449,0.298818,30.514190,284.457900,346.843300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308742,1.733468,-2.326141,326.681300,55.543790,190.623600
0.8086,0.035285,1.560463,0.298176,30.600780,284.260300,346.952400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308814,1.733549,-2.326150,326.681000,55.545010,190.621600
0.8199,0.034530,1.560466,0.297661,30.688950,284.173300,347.116700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308806,1.733476,-2.326311,326.676900,55.546320,190.615800
0.8306,0.034012,1.560456,0.297289,30.811550,284.388000,347.410700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308799,1.733410,-2.326437,326.672500,55.547230,190.610200
0.8423,0.033619,1.560452,0.297006,30.978240,284.709700,347.743800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308801,1.733355,-2.326544,326.669400,55.548030,190.605700
