time,frame_id,marker_id,pos_x,pos_y,pos_z
62.1425,0,8248,-0.006836,0.013010,0.640069
62.1425,0,8251,0.010012,0.002686,-0.002668
62.1542,0,8202,1.390138,0.031775,0.058345
62.1542,0,8248,-0.006797,0.012995,0.640076
62.1542,0,8251,0.010042,0.002674,-0.002664
62.1647,0,8202,1.390147,0.031701,0.058311
62.1647,0,8248,-0.006779,0.013016,0.640068
62.1647,0,8251,0.010063,0.002684,-0.002660
62.1762,0,8202,1.390158,0.031717,0.058314
62.1762,0,8248,-0.006773,0.013017,0.640064
62.1762,0,8251,0.010068,0.002668,-0.002678
62.1872,0,8202,1.390146,0.031726,0.058328
62.1872,0,8248,-0.006779,0.013012,0.640067
62.1872,0,8251,0.010063,0.002686,-0.002669
62.1985,0,8202,1.390134,0.031720,0.058316
62.1985,0,8248,-0.006790,0.013019,0.640072
62.1985,0,8251,0.010049,0.002657,-0.002669
62.2093,0,8202,1.390118,0.031733,0.058319
62.2093,0,8248,-0.006814,0.013013,0.640069
62.2093,0,8251,0.010032,0.002677,-0.002667
62.2212,0,8202,1.390107,0.031736,0.058324
62.2212,0,8248,-0.006819,0.013013,0.640073
62.2212,0,8251,0.010019,0.002677,-0.002672
62.2315,0,8202,1.390099,0.031714,0.058309
62.2315,0,8248,-0.006828,0.013020,0.640070
62.2315,0,8251,0.010017,0.002670,-0.002668
62.2424,0,8202,1.390108,0.031712,0.058316
62.2424,0,8248,-0.006816,0.013014,0.640069
62.2424,0,8251,0.010031,0.002680,-0.002661
62.2544,0,8202,1.390136,0.031743,0.058330
62.2544,0,8248,-0.006790,0.013016,0.640073
62.2544,0,8251,0.010052,0.002661,-0.002669
62.2647,0,8202,1.390154,0.031756,0.058327
62.2647,0,8248,-0.006777,0.013012,0.640066
62.2647,0,8251,0.010066,0.002683,-0.002654
62.2760,0,8202,1.390157,0.031725,0.058311
62.2760,0,8248,-0.006761,0.012991,0.640081
62.2760,0,8251,0.010079,0.002665,-0.002661
62.2874,0,8202,1.390169,0.031726,0.058308
62.2874,0,8248,-0.006758,0.013007,0.640073
62.2874,0,8251,0.010083,0.002658,-0.002666
62.2983,0,8202,1.390151,0.031729,0.058304
62.2983,0,8248,-0.006765,0.013013,0.640075
62.2983,0,8251,0.010076,0.002654,-0.002668
62.3094,0,8202,1.390132,0.031735,0.058302
62.3094,0,8248,-0.006798,0.013014,0.640067
62.3094,0,8251,0.010037,0.002679,-0.002670
62.3211,0,8202,1.390058,0.031717,0.058292
62.3211,0,8248,-0.006869,0.013026,0.640060
62.3211,0,8251,0.009965,0.002679,-0.002672
62.3316,0,8202,1.390029,0.031734,0.058298
62.3316,0,8248,-0.006899,0.013034,0.640053
62.3316,0,8251,0.009936,0.002672,-0.002685
62.3425,0,8202,1.390002,0.031719,0.058274
62.3425,0,8248,-0.006916,0.013041,0.640051
62.3425,0,8251,0.009912,0.002681,-0.002686
62.3543,0,8202,1.389997,0.031714,0.058268
