time,frame_id,marker_id,pos_x,pos_y,pos_z
52.4981,0,6650,0.028113,0.016701,-0.009481
52.4981,0,6683,1.396169,-0.005114,0.123125
52.4981,0,6707,0.046534,-0.007857,0.561182
52.4981,0,6767,1.298783,-0.030881,0.743682
52.5094,0,6650,0.028113,0.016708,-0.009485
52.5094,0,6683,1.396163,-0.005144,0.123097
52.5094,0,6707,0.046297,-0.008034,0.561106
52.5094,0,6767,1.298776,-0.030897,0.743700
52.5202,0,6650,0.028106,0.016710,-0.009480
52.5202,0,6683,1.396151,-0.005151,0.123093
52.5202,0,6707,0.046471,-0.007905,0.561165
52.5202,0,6767,1.298782,-0.030881,0.743699
52.5317,0,6650,0.028104,0.016710,-0.009482
52.5317,0,6683,1.396153,-0.005146,0.123103
52.5317,0,6707,0.046221,-0.008089,0.561059
52.5317,0,6767,1.298773,-0.030895,0.743698
52.5426,0,6650,0.028109,0.016710,-0.009490
52.5426,0,6683,1.396159,-0.005126,0.123109
52.5426,0,6707,0.046462,-0.007904,0.561152
52.5426,0,6767,1.298777,-0.030878,0.743705
52.5538,0,6650,0.028112,0.016711,-0.009479
52.5538,0,6683,1.396161,-0.005126,0.123115
52.5538,0,6707,0.046226,-0.008081,0.561059
52.5538,0,6767,1.298771,-0.030899,0.743688
52.5655,0,6650,0.028106,0.016719,-0.009480
52.5655,0,6683,1.396159,-0.005147,0.123102
52.5655,0,6707,0.046278,-0.008029,0.561087
52.5655,0,6767,1.298783,-0.030871,0.743683
52.5764,0,6650,0.028110,0.016706,-0.009482
52.5764,0,6683,1.396152,-0.005132,0.123095
52.5764,0,6707,0.046310,-0.008038,0.561088
52.5764,0,6767,1.298782,-0.030875,0.743678
52.5869,0,6650,0.028109,0.016705,-0.009475
52.5869,0,6683,1.396165,-0.005130,0.123111
52.5869,0,6707,0.046299,-0.008026,0.561087
52.5869,0,6767,1.298790,-0.030855,0.743697
52.5981,0,6650,0.028108,0.016712,-0.009483
52.5981,0,6683,1.396164,-0.005113,0.123111
52.5981,0,6707,0.046337,-0.008020,0.561105
52.5981,0,6767,1.298785,-0.030891,0.743694
