time,frame_id,marker_id,pos_x,pos_y,pos_z
6,9582,8868,7251,0.000000,1.400000,0.600000
6,9582,8868,7252,0.204375,1.196000,0.600000
6,9582,8868,7253,0.408750,0.992000,0.600000
6,9721,8869,7251,0.000000,1.400000,0.600000
6,9721,8869,7252,0.204375,1.196000,0.600000
6,9721,8869,7253,0.408750,0.992000,0.600000
6,9772,8870,7251,0.000000,1.400000,0.600000
6,9772,8870,7252,0.204375,1.196000,0.600000
6,9772,8870,7253,0.408750,0.992000,0.600000
7,0131,8873,7251,0.000000,1.400000,0.600000
7,0131,8873,7252,0.204375,1.196000,0.600000
7,0131,8873,7253,0.408750,0.992000,0.600000
7,0197,8874,7251,0.000000,1.400000,0.600000
7,0197,8874,7252,0.204375,1.196000,0.600000
7,0197,8874,7253,0.408750,0.992000,0.600000
7,0317,8875,7251,0.000000,1.400000,0.600000
7,0317,8875,7252,0.204375,1.196000,0.600000
7,0317,8875,7253,0.408750,0.992000,0.600000
7,0403,8876,7251,0.000000,1.400000,0.600000
7,0403,8876,7252,0.204375,1.196000,0.600000
7,0403,8876,7253,0.408750,0.992000,0.600000
7,0509,8877,7251,0.000000,1.400000,0.600000
7,0509,8877,7252,0.204375,1.196000,0.600000
7,0509,8877,7253,0.408750,0.992000,0.600000
7,0615,8878,7251,0.000000,1.400000,0.600000
7,0615,8878,7252,0.204375,1.196000,0.600000
7,0615,8878,7253,0.408750,0.992000,0.600000
7,0712,8879,7251,0.000000,1.400000,0.600000
7,0712,8879,7252,0.204375,1.196000,0.600000
7,0712,8879,7253,0.408750,0.992000,0.600000
7,0811,8880,7251,0.000000,1.400000,0.600000
7,0811,8880,7252,0.204375,1.196000,0.600000
7,0811,8880,7253,0.408750,0.992000,0.600000
7,0899,8881,7251,0.000000,1.400000,0.600000
7,0899,8881,7252,0.204375,1.196000,0.600000
7,0899,8881,7253,0.408750,0.992000,0.600000
7,1040,8882,7251,0.000000,1.400000,0.600000
7,1040,8882,7252,0.204375,1.196000,0.600000
7,1040,8882,7253,0.408750,0.992000,0.600000
7,1127,8883,7251,0.000000,1.400000,0.600000
7,1127,8883,7252,0.204375,1.196000,0.600000
7,1127,8883,7253,0.408750,0.992000,0.600000
7,1205,8884,7251,0.000000,1.400000,0.600000
7,1205,8884,7252,0.204375,1.196000,0.600000
7,1205,8884,7253,0.408750,0.992000,0.600000
7,1331,8885,7251,0.000000,1.400000,0.600000
7,1331,8885,7252,0.204375,1.196000,0.600000
7,1331,8885,7253,0.408750,0.992000,0.600000
7,1407,8886,7251,0.000000,1.400000,0.600000
7,1407,8886,7252,0.204375,1.196000,0.600000
7,1407,8886,7253,0.408750,0.992000,0.600000
7,1533,8887,7251,0.000000,1.400000,0.600000
7,1533,8887,7252,0.204375,1.196000,0.600000
7,1533,8887,7253,0.408750,0.992000,0.600000
7,1621,8888,7251,0.000000,1.400000,0.600000
7,1621,8888,7252,0.204375,1.196000,0.600000
7,1621,8888,7253,0.408750,0.992000,0.600000
7,1731,8889,7251,0.000000,1.400000,0.600000
7,1731,8889,7252,0.204375,1.196000,0.600000
7,1731,8889,7253,0.408750,0.992000,0.600000
7,1825,8890,7251,0.000000,1.400000,0.600000
7,1825,8890,7252,0.204375,1.196000,0.600000
7,1825,8890,7253,0.408750,0.992000,0.600000
7,1962,8891,7251,0.000000,1.400000,0.600000
7,1962,8891,7252,0.204375,1.196000,0.600000
7,1962,8891,7253,0.408750,0.992000,0.600000
7,2063,8892,7251,0.000000,1.400000,0.600000
7,2063,8892,7252,0.204375,1.196000,0.600000
7,2063,8892,7253,0.408750,0.992000,0.600000
7,2167,8893,7251,0.000000,1.400000,0.600000
7,2167,8893,7252,0.204375,1.196000,0.600000
7,2167,8893,7253,0.408750,0.992000,0.600000
7,2254,8894,7251,0.000000,1.400000,0.600000
7,2254,8894,7252,0.204375,1.196000,0.600000
7,2254,8894,7253,0.408750,0.992000,0.600000
7,2343,8895,7251,0.000000,1.400000,0.600000
7,2343,8895,7252,0.204375,1.196000,0.600000
7,2343,8895,7253,0.408750,0.992000,0.600000
7,2457,8896,7251,0.000000,1.400000,0.600000
7,2457,8896,7252,0.204375,1.196000,0.600000
7,2457,8896,7253,0.408750,0.992000,0.600000
7,2554,8897,7251,0.000000,1.400000,0.600000
7,2554,8897,7252,0.204375,1.196000,0.600000
7,2554,8897,7253,0.408750,0.992000,0.600000
7,2679,8898,7251,0.000000,1.400000,0.600000
7,2679,8898,7252,0.204375,1.196000,0.600000
7,2679,8898,7253,0.408750,0.992000,0.600000
7,2765,8899,7251,0.000000,1.400000,0.600000
7,2765,8899,7252,0.204375,1.196000,0.600000
7,2765,8899,7253,0.408750,0.992000,0.600000
7,2930,8900,7251,0.000000,1.400000,0.600000
7,2930,8900,7252,0.204375,1.196000,0.600000
7,2930,8900,7253,0.408750,0.992000,0.600000
7,3019,8901,7251,0.000000,1.400000,0.600000
7,3019,8901,7252,0.204375,1.196000,0.600000
7,3019,8901,7253,0.408750,0.992000,0.600000
7,3126,8902,7251,0.000000,1.400000,0.600000
7,3126,8902,7252,0.204375,1.196000,0.600000
7,3126,8902,7253,0.408750,0.992000,0.600000
7,3230,8903,7251,0.000000,1.400000,0.600000
7,3230,8903,7252,0.204375,1.196000,0.600000
7,3230,8903,7253,0.408750,0.992000,0.600000
7,3316,8904,7251,0.000000,1.400000,0.600000
7,3316,8904,7252,0.204375,1.196000,0.600000
7,3316,8904,7253,0.408750,0.992000,0.600000
7,3401,8905,7251,0.000000,1.400000,0.600000
7,3401,8905,7252,0.204375,1.196000,0.600000
7,3401,8905,7253,0.408750,0.992000,0.600000
7,3529,8906,7251,0.000000,1.400000,0.600000
7,3529,8906,7252,0.204375,1.196000,0.600000
7,3529,8906,7253,0.408750,0.992000,0.600000
7,3620,8907,7251,0.000000,1.400000,0.600000
7,3620,8907,7252,0.204375,1.196000,0.600000
7,3620,8907,7253,0.408750,0.992000,0.600000
7,3749,8908,7251,0.000000,1.400000,0.600000
7,3749,8908,7252,0.204375,1.196000,0.600000
7,3749,8908,7253,0.408750,0.992000,0.600000
7,3834,8909,7251,0.000000,1.400000,0.600000
7,3834,8909,7252,0.204375,1.196000,0.600000
7,3834,8909,7253,0.408750,0.992000,0.600000
7,3922,8910,7251,0.000000,1.400000,0.600000
7,3922,8910,7252,0.204375,1.196000,0.600000
7,3922,8910,7253,0.408750,0.992000,0.600000
7,4054,8911,7251,0.000000,1.400000,0.600000
7,4054,8911,7252,0.204375,1.196000,0.600000
7,4054,8911,7253,0.408750,0.992000,0.600000
7,4140,8912,7251,0.000000,1.400000,0.600000
7,4140,8912,7252,0.204375,1.196000,0.600000
7,4140,8912,7253,0.408750,0.992000,0.600000
7,4266,8913,7251,0.000000,1.400000,0.600000
7,4266,8913,7252,0.204375,1.196000,0.600000
7,4266,8913,7253,0.408750,0.992000,0.600000
7,4366,8914,7251,0.000000,1.400000,0.600000
7,4366,8914,7252,0.204375,1.196000,0.600000
7,4366,8914,7253,0.408750,0.992000,0.600000
7,4462,8915,7251,0.000000,1.400000,0.600000
7,4462,8915,7252,0.204375,1.196000,0.600000
7,4462,8915,7253,0.408750,0.992000,0.600000
7,4540,8916,7251,0.000000,1.400000,0.600000
7,4540,8916,7252,0.204375,1.196000,0.600000
7,4540,8916,7253,0.408750,0.992000,0.600000
7,4636,8917,7251,0.000000,1.400000,0.600000
7,4636,8917,7252,0.204375,1.196000,0.600000
7,4636,8917,7253,0.408750,0.992000,0.600000
7,4778,8918,7251,0.000000,1.400000,0.600000
7,4778,8918,7252,0.204375,1.196000,0.600000
7,4778,8918,7253,0.408750,0.992000,0.600000
7,4861,8919,7251,0.000000,1.400000,0.600000
7,4861,8919,7252,0.204375,1.196000,0.600000
7,4861,8919,7253,0.408750,0.992000,0.600000
7,4967,8920,7251,0.000000,1.400000,0.600000
7,4967,8920,7252,0.204375,1.196000,0.600000
7,4967,8920,7253,0.408750,0.992000,0.600000
7,5098,8921,7251,0.000000,1.400000,0.600000
7,5098,8921,7252,0.204375,1.196000,0.600000
7,5098,8921,7253,0.408750,0.992000,0.600000
7,5164,8922,7251,0.000000,1.400000,0.600000
7,5164,8922,7252,0.204375,1.196000,0.600000
7,5164,8922,7253,0.408750,0.992000,0.600000
7,5302,8923,7251,0.000000,1.400000,0.600000
7,5302,8923,7252,0.204375,1.196000,0.600000
7,5302,8923,7253,0.408750,0.992000,0.600000
7,5401,8924,7251,0.000000,1.400000,0.600000
7,5401,8924,7252,0.204375,1.196000,0.600000
7,5401,8924,7253,0.408750,0.992000,0.600000
7,5511,8925,7251,0.000000,1.400000,0.600000
7,5511,8925,7252,0.204375,1.196000,0.600000
7,5511,8925,7253,0.408750,0.992000,0.600000
